"seq" ;"instrucao"    ;"Z80"   ;"Z80-M1" ;"R800" ;"r800+"   ;"opcode" ;"op2"       ;"op3" ;"op4"     ;"num"
242   ;"NOP"          ;4       ;5        ;1      ;1         ;"00"     ;"-"         ;"-"   ;"-"       ;1
144   ;"LD (BC),A"    ;7       ;8        ;2      ;4         ;"02"     ;"-"         ;"-"   ;"-"       ;1
110   ;"INC BC"       ;6       ;7        ;1      ;1         ;"03"     ;"-"         ;"-"   ;"-"       ;1
109   ;"INC B"        ;4       ;5        ;1      ;1         ;"04"     ;"-"         ;"-"   ;"-"       ;1
69    ;"DEC B"        ;4       ;5        ;1      ;1         ;"05"     ;"-"         ;"-"   ;"-"       ;1
298   ;"RLCA"         ;4       ;5        ;1      ;1         ;"07"     ;"-"         ;"-"   ;"-"       ;1
89    ;"EX AF,AF'"    ;4       ;5        ;1      ;1         ;"08"     ;"-"         ;"-"   ;"-"       ;1
19    ;"ADD HL,BC"    ;11      ;12       ;1      ;1         ;"09"     ;"-"         ;"-"   ;"-"       ;1
145   ;"LD (DE),A"    ;7       ;8        ;2      ;4         ;"12"     ;"-"         ;"-"   ;"-"       ;1
113   ;"INC DE"       ;6       ;7        ;1      ;1         ;"13"     ;"-"         ;"-"   ;"-"       ;1
112   ;"INC D"        ;4       ;5        ;1      ;1         ;"14"     ;"-"         ;"-"   ;"-"       ;1
72    ;"DEC D"        ;4       ;5        ;1      ;1         ;"15"     ;"-"         ;"-"   ;"-"       ;1
293   ;"RLA"          ;4       ;5        ;1      ;1         ;"17"     ;"-"         ;"-"   ;"-"       ;1
20    ;"ADD HL,DE"    ;11      ;12       ;1      ;1         ;"19"     ;"-"         ;"-"   ;"-"       ;1
116   ;"INC HL"       ;6       ;7        ;1      ;1         ;"23"     ;"-"         ;"-"   ;"-"       ;1
115   ;"INC H"        ;4       ;5        ;1      ;1         ;"24"     ;"-"         ;"-"   ;"-"       ;1
75    ;"DEC H"        ;4       ;5        ;1      ;1         ;"25"     ;"-"         ;"-"   ;"-"       ;1
64    ;"DAA"          ;4       ;5        ;1      ;1         ;"27"     ;"-"         ;"-"   ;"-"       ;1
21    ;"ADD HL,HL"    ;11      ;12       ;1      ;1         ;"29"     ;"-"         ;"-"   ;"-"       ;1
122   ;"INC SP"       ;6       ;7        ;1      ;1         ;"33"     ;"-"         ;"-"   ;"-"       ;1
105   ;"INC (HL)"     ;11      ;12       ;4      ;7         ;"34"     ;"-"         ;"-"   ;"-"       ;1
65    ;"DEC (HL)"     ;11      ;12       ;4      ;7         ;"35"     ;"-"         ;"-"   ;"-"       ;1
330   ;"SCF"          ;4       ;5        ;1      ;1         ;"37"     ;"-"         ;"-"   ;"-"       ;1
22    ;"ADD HL,SP"    ;11      ;12       ;1      ;1         ;"39"     ;"-"         ;"-"   ;"-"       ;1
171   ;"LD B,(HL)"    ;7       ;8        ;2      ;4         ;"46"     ;"-"         ;"-"   ;"-"       ;1
187   ;"LD D,(HL)"    ;7       ;8        ;2      ;4         ;"56"     ;"-"         ;"-"   ;"-"       ;1
